title,city,date,detailLink,,,,
SONY Experia Z1S,Lahore,1:05 AM,http://olx.com.pk/item/sony-experia-z1s-IDTLsRT.html#1d7b414df0,,,,
GALAXY S6 ( 128 GB),Mardan,1:05 AM,http://olx.com.pk/item/galaxy-s6-128-gb-IDTLsXj.html#1d7b414df0,,,,
Samsung note 4 edge,Karachi,1:05 AM,http://olx.com.pk/item/samsung-note-4-edge-IDTLsWW.html#1d7b414df0,,,,
Samsung note 3 original,Quetta,1:05 AM,http://olx.com.pk/item/samsung-note-3-original-IDTLsXh.html#1d7b414df0,,,,
Grand 2 Samsung original,Rawalpindi,1:05 AM,http://olx.com.pk/item/grand-2-samsung-original-IDTLsX3.html#1d7b414df0,,,,
samsung galaxy s3 in good condition,Wah,1:05 AM,http://olx.com.pk/item/samsung-galaxy-s3-in-good-condition-IDTLsVH.html#1d7b414df0,,,,
"Samsung Galaxy S3 16Gb , 1Gb Ram , 3G+4G Condition 10/9",Karachi,1:05 AM,http://olx.com.pk/item/samsung-galaxy-s3-16gb-1gb-ram-3g-4g-condition-10-9-IDTLsTD.html#1d7b414df0,,,,
Samsung Galaxy S2 plus orignal,Rawalpindi,1:05 AM,http://olx.com.pk/item/samsung-galaxy-s2-plus-orignal-IDTLsVx.html#1d7b414df0,,,,
Samsung galaxy excellent foun,Lahore,1:05 AM,http://olx.com.pk/item/samsung-galaxy-excellent-foun-IDTLsTx.html#1d7b414df0,,,,
Samsung galaxy s4 I9500,Karachi,1:04 AM,http://olx.com.pk/item/samsung-galaxy-s4-i9500-IDTLsT5.html#1d7b414df0,,,,
Samsung Galaxy Note 5 10/10 white pearl,Sargodha,1:04 AM,http://olx.com.pk/item/samsung-galaxy-note-5-10-10-white-pearl-IDTLsS9.html#1d7b414df0,,,,
Grand prime for cell,Karachi,1:04 AM,http://olx.com.pk/item/grand-prime-for-cell-IDTKu9w.html#1d7b414df0,,,,
Nokia 130 rm 1035,Lahore,1:03 AM,http://olx.com.pk/item/nokia-130-rm-1035-IDTGqt1.html#1d7b414df0,,,,
Infinix Hot Not Pro,Lahore,1:00 AM,http://olx.com.pk/item/infinix-hot-not-pro-IDTJL4z.html#1d7b414df0,,,,
iPad mini 2 16GB Wi-Fi Space Grey like new condition for sell...,Karachi,12:59 AM,http://olx.com.pk/item/ipad-mini-2-16gb-wi-fi-space-grey-like-new-condition-for-sell-IDTyrth.html#1d7b414df0,,,,
Samsung Galaxy Grand Prime,Karachi,12:57 AM,http://olx.com.pk/item/samsung-galaxy-grand-prime-IDTrYIj.html#1d7b414df0,,,,
