"","htc_price"
"1","Coming Soon"
"2","Coming Soon"
"3","Coming Soon"
"4","Coming Soon"
"5","Coming Soon"
"6","Coming Soon"
"7","Coming Soon"
"8","Coming Soon"
"9","Coming Soon"
"10","Coming Soon"
"11","Coming Soon"
"12","Coming Soon"
"13","Coming Soon"
"14","Rs. 56,000"
"15","Rs. 50,000"
"16","Rs. 48,999"
"17","Rs. 48,000"
"18","Rs. 45,000"
"19","Rs. 42,000"
"20","Rs. 42,000"
"21","Rs. 41,000"
"22","Rs. 41,000"
"23","Rs. 37,999"
"24","Rs. 37,500"
"25","Rs. 36,000"
"26","Rs. 33,000"
"27","Rs. 33,000"
"28","Rs. 32,000"
"29","Rs. 30,000"
"30","Rs. 29,800"
"31","Rs. 29,000"
"32","Rs. 28,999"
"33","Rs. 25,990"
"34","Rs. 24,500"
"35","Rs. 24,500"
"36","Rs. 24,000"
"37","Rs. 22,500"
"38","Rs. 20,000"
"39","Rs. 19,900"
"40","Rs. 18,000"
"41","Rs. 17,999"
"42","Rs. 16,490"
"43","Rs. 11,700"
"44"," Price N/A "
"45"," Price N/A "
"46"," Price N/A "
"47"," Price N/A "
"48"," Price N/A "
"49"," Price N/A "
"50"," Price N/A "
"51"," Price N/A "
"52"," Price N/A "
"53"," Price N/A "
"54"," Price N/A "
"55"," Price N/A "
"56"," Price N/A "
"57"," Price N/A "
"58"," Price N/A "
"59"," Price N/A "
"60"," Price N/A "
"61"," Price N/A "
"62"," Price N/A "
"63"," Price N/A "
"64"," Price N/A "
