"","hua_price"
"1","Coming Soon"
"2","Coming Soon"
"3","Coming Soon"
"4","Coming Soon"
"5","Coming Soon"
"6","Coming Soon"
"7","Coming Soon"
"8","Coming Soon"
"9","Coming Soon"
"10","Coming Soon"
"11","Coming Soon"
"12","Coming Soon"
"13","Coming Soon"
"14","Rs. 71,999"
"15","Rs. 67,999"
"16","Rs. 56,999"
"17","Rs. 55,999"
"18","Rs. 54,000"
"19","Rs. 49,999"
"20","Rs. 49,999"
"21","Rs. 45,499"
"22","Rs. 41,000"
"23","Rs. 40,999"
"24","Rs. 36,500"
"25","Rs. 36,499"
"26","Rs. 35,999"
"27","Rs. 35,999"
"28","Rs. 31,999"
"29","Rs. 28,999"
"30","Rs. 27,499"
"31","Rs. 25,900"
"32","Rs. 25,799"
"33","Rs. 23,899"
"34","Rs. 22,999"
"35","Rs. 21,499"
"36","Rs. 18,500"
"37","Rs. 18,000"
"38","Rs. 17,900"
"39","Rs. 16,000"
"40","Rs. 16,000"
"41","Rs. 14,999"
"42","Rs. 14,999"
"43","Rs. 14,899"
"44","Rs. 13,500"
"45","Rs. 13,500"
"46","Rs. 13,500"
"47","Rs. 12,999"
"48","Rs. 12,300"
"49","Rs. 12,000"
"50","Rs. 12,000"
"51","Rs. 10,999"
"52","Rs. 10,000"
"53","Rs. 9,799"
"54","Rs. 9,500"
"55","Rs. 8,999"
"56","Rs. 8,499"
"57","Rs. 7,600"
"58","Rs. 6,999"
"59"," Price N/A "
"60"," Price N/A "
"61"," Price N/A "
"62"," Price N/A "
"63"," Price N/A "
"64"," Price N/A "
"65"," Price N/A "
"66"," Price N/A "
"67"," Price N/A "
"68"," Price N/A "
"69"," Price N/A "
"70"," Price N/A "
"71"," Price N/A "
"72"," Price N/A "
