"","q_price"
"1","Rs. 45,000"
"2","Rs. 26,500"
"3","Rs. 23,500"
"4","Rs. 22,500"
"5","Rs. 20,999"
"6","Rs. 19,900"
"7","Rs. 19,500"
"8","Rs. 18,800"
"9","Rs. 16,900"
"10","Rs. 16,000"
"11","Rs. 14,900"
"12","Rs. 14,900"
"13","Rs. 14,900"
"14","Rs. 14,900"
"15","Rs. 14,000"
"16","Rs. 13,900"
"17","Rs. 13,900"
"18","Rs. 13,500"
"19","Rs. 13,500"
"20","Rs. 13,500"
"21","Rs. 12,500"
"22","Rs. 12,500"
"23","Rs. 12,500"
"24","Rs. 12,200"
"25","Rs. 12,000"
"26","Rs. 11,900"
"27","Rs. 11,900"
"28","Rs. 11,800"
"29","Rs. 11,500"
"30","Rs. 11,500"
"31","Rs. 11,500"
"32","Rs. 11,500"
"33","Rs. 10,900"
"34","Rs. 10,800"
"35","Rs. 10,500"
"36","Rs. 10,200"
"37","Rs. 9,950"
"38","Rs. 9,900"
"39","Rs. 9,800"
"40","Rs. 9,500"
"41","Rs. 9,500"
"42","Rs. 8,990"
"43","Rs. 8,800"
"44","Rs. 8,800"
"45","Rs. 8,300"
"46","Rs. 8,250"
"47","Rs. 8,150"
"48","Rs. 7,990"
"49","Rs. 7,950"
"50","Rs. 7,800"
"51","Rs. 7,500"
"52","Rs. 7,250"
"53","Rs. 7,250"
"54","Rs. 7,250"
"55","Rs. 7,050"
"56","Rs. 7,050"
"57","Rs. 6,990"
"58","Rs. 6,900"
"59","Rs. 6,900"
"60","Rs. 6,800"
"61","Rs. 6,650"
"62","Rs. 6,600"
"63","Rs. 6,500"
"64","Rs. 5,990"
"65","Rs. 5,850"
"66","Rs. 5,600"
"67","Rs. 5,500"
"68","Rs. 5,490"
"69","Rs. 5,350"
"70","Rs. 4,990"
"71","Rs. 4,650"
"72","Rs. 4,500"
"73","Rs. 4,500"
"74","Rs. 3,990"
"75","Rs. 3,900"
"76","Rs. 3,850"
"77","Rs. 3,650"
"78","Rs. 3,650"
"79","Rs. 3,600"
"80","Rs. 3,500"
"81","Rs. 3,450"
"82","Rs. 3,250"
"83","Rs. 3,000"
"84","Rs. 2,999"
"85","Rs. 2,950"
"86","Rs. 2,950"
"87","Rs. 2,890"
"88","Rs. 2,875"
"89","Rs. 2,850"
"90","Rs. 2,850"
"91","Rs. 2,850"
"92","Rs. 2,750"
"93","Rs. 2,750"
"94","Rs. 2,750"
"95","Rs. 2,750"
"96","Rs. 2,750"
"97","Rs. 2,750"
"98","Rs. 2,650"
"99","Rs. 2,650"
"100","Rs. 2,625"
"101","Rs. 2,600"
"102","Rs. 2,550"
"103","Rs. 2,500"
"104","Rs. 2,500"
"105","Rs. 2,500"
"106","Rs. 2,475"
"107","Rs. 2,475"
"108","Rs. 2,450"
"109","Rs. 2,450"
"110","Rs. 2,450"
"111","Rs. 2,375"
"112","Rs. 2,300"
"113","Rs. 2,275"
"114","Rs. 2,275"
"115","Rs. 2,250"
"116","Rs. 2,250"
"117","Rs. 2,250"
"118","Rs. 2,250"
"119","Rs. 2,200"
"120","Rs. 2,200"
"121","Rs. 2,200"
"122","Rs. 2,200"
"123","Rs. 2,200"
"124","Rs. 2,175"
"125","Rs. 2,175"
"126","Rs. 2,150"
"127","Rs. 2,150"
"128","Rs. 2,150"
"129","Rs. 2,150"
"130","Rs. 2,100"
"131","Rs. 2,100"
"132","Rs. 2,100"
"133","Rs. 2,090"
"134","Rs. 2,075"
"135","Rs. 2,075"
"136","Rs. 2,050"
"137","Rs. 2,050"
"138","Rs. 2,050"
"139","Rs. 2,050"
"140","Rs. 2,050"
"141","Rs. 2,050"
"142","Rs. 2,025"
"143","Rs. 2,000"
"144","Rs. 1,990"
"145","Rs. 1,990"
"146","Rs. 1,950"
"147","Rs. 1,950"
"148","Rs. 1,890"
"149","Rs. 1,875"
"150","Rs. 1,860"
"151","Rs. 1,825"
"152","Rs. 1,825"
"153","Rs. 1,800"
"154","Rs. 1,700"
"155","Rs. 1,700"
"156","Rs. 1,650"
"157","Rs. 1,550"
"158","Rs. 1,525"
"159","Rs. 1,500"
"160","Rs. 1,490"
"161"," Price N/A "
"162"," Price N/A "
"163"," Price N/A "
"164"," Price N/A "
"165"," Price N/A "
"166"," Price N/A "
"167"," Price N/A "
"168"," Price N/A "
"169"," Price N/A "
"170"," Price N/A "
"171"," Price N/A "
"172"," Price N/A "
"173"," Price N/A "
