"","samsung_price"
"1","Coming Soon"
"2","Coming Soon"
"3","Coming Soon"
"4","Coming Soon"
"5","Coming Soon"
"6","Coming Soon"
"7","Coming Soon"
"8","Coming Soon"
"9","Coming Soon"
"10","Coming Soon"
"11","Coming Soon"
"12","Coming Soon"
"13","Coming Soon"
"14","Coming Soon"
"15","Coming Soon"
"16","Rs. 89,999"
"17","Rs. 89,000"
"18","Rs. 72,000"
"19","Rs. 67,000"
"20","Rs. 65,000"
"21","Rs. 59,999"
"22","Rs. 57,000"
"23","Rs. 54,999"
"24","Rs. 52,000"
"25","Rs. 50,000"
"26","Rs. 48,999"
"27","Rs. 45,000"
"28","Rs. 43,000"
"29","Rs. 42,500"
"30","Rs. 42,000"
"31","Rs. 41,500"
"32","Rs. 39,999"
"33","Rs. 37,500"
"34","Rs. 37,000"
"35","Rs. 35,999"
"36","Rs. 35,900"
"37","Rs. 35,500"
"38","Rs. 33,900"
"39","Rs. 32,900"
"40","Rs. 31,999"
"41","Rs. 29,500"
"42","Rs. 28,000"
"43","Rs. 25,999"
"44","Rs. 23,000"
"45","Rs. 22,500"
"46","Rs. 22,000"
"47","Rs. 21,999"
"48","Rs. 21,000"
"49","Rs. 19,499"
"50","Rs. 19,000"
"51","Rs. 16,500"
"52","Rs. 14,999"
"53","Rs. 14,500"
"54","Rs. 13,999"
"55","Rs. 13,900"
"56","Rs. 12,999"
"57","Rs. 11,999"
"58","Rs. 11,900"
"59","Rs. 10,100"
"60","Rs. 9,900"
"61","Rs. 9,500"
"62","Rs. 9,500"
"63","Rs. 9,250"
"64","Rs. 8,500"
"65","Rs. 7,999"
"66","Rs. 6,800"
"67","Rs. 6,000"
"68","Rs. 5,800"
"69","Rs. 4,999"
"70","Rs. 4,200"
"71","Rs. 3,499"
"72","N/A"
"73","N/A"
"74","N/A"
"75","N/A"
"76","N/A"
"77","N/A"
"78","N/A"
"79","N/A"
"80","Rs. 2,800"
"81","Rs. 2,599"
"82","Rs. 2,500"
"83","Rs. 2,500"
"84"," Price N/A "
"85"," Price N/A "
"86"," Price N/A "
"87"," Price N/A "
"88"," Price N/A "
"89"," Price N/A "
"90"," Price N/A "
"91"," Price N/A "
"92"," Price N/A "
"93"," Price N/A "
"94"," Price N/A "
"95"," Price N/A "
"96"," Price N/A "
