"","sony_price"
"1","Coming Soon"
"2","Coming Soon"
"3","Coming Soon"
"4","Coming Soon"
"5","Coming Soon"
"6","Coming Soon"
"7","Coming Soon"
"8","Coming Soon"
"9","Coming Soon"
"10","Rs. 59,000"
"11","Rs. 51,000"
"12","Rs. 49,999"
"13","Rs. 47,500"
"14","Rs. 41,000"
"15","Rs. 40,999"
"16","Rs. 38,000"
"17","Rs. 32,000"
"18","Rs. 31,990"
"19","Rs. 31,000"
"20","Rs. 30,000"
"21","Rs. 27,000"
"22","Rs. 27,000"
"23","Rs. 26,999"
"24","Rs. 26,000"
"25","Rs. 25,000"
"26","Rs. 24,500"
"27","Rs. 22,000"
"28","Rs. 20,000"
"29","Rs. 18,500"
"30","Rs. 18,500"
"31","Rs. 18,000"
"32","Rs. 18,000"
"33","Rs. 17,990"
"34","Rs. 15,500"
"35","Rs. 15,490"
"36","Rs. 15,000"
"37","Rs. 13,000"
"38","Rs. 12,500"
"39"," Price N/A "
"40"," Price N/A "
"41"," Price N/A "
"42"," Price N/A "
"43"," Price N/A "
"44"," Price N/A "
"45"," Price N/A "
"46"," Price N/A "
"47"," Price N/A "
"48"," Price N/A "
