"","voice_price"
"1","Rs. 20,900"
"2","Rs. 16,500"
"3","Rs. 15,800"
"4","Rs. 14,800"
"5","Rs. 14,800"
"6","Rs. 14,800"
"7","Rs. 11,900"
"8","Rs. 11,800"
"9","Rs. 11,500"
"10","Rs. 11,500"
"11","Rs. 11,200"
"12","Rs. 10,200"
"13","Rs. 9,800"
"14","Rs. 8,900"
"15","Rs. 8,800"
"16","Rs. 8,300"
"17","Rs. 7,950"
"18","Rs. 7,800"
"19","Rs. 7,500"
"20","Rs. 6,950"
"21","Rs. 5,950"
"22","Rs. 4,600"
"23","Rs. 3,990"
"24","Rs. 3,900"
"25","Rs. 3,700"
"26","Rs. 3,200"
"27","Rs. 2,950"
"28","Rs. 2,750"
"29","Rs. 2,700"
"30","Rs. 2,650"
"31","Rs. 2,650"
"32","Rs. 2,650"
"33","Rs. 2,600"
"34","Rs. 2,600"
"35","Rs. 2,575"
"36","Rs. 2,550"
"37","Rs. 2,550"
"38","Rs. 2,450"
"39","Rs. 2,400"
"40","Rs. 2,400"
"41","Rs. 2,350"
"42","Rs. 2,200"
"43","Rs. 2,200"
"44","Rs. 2,150"
"45","Rs. 2,150"
"46","Rs. 2,100"
"47","Rs. 2,000"
"48","Rs. 2,000"
"49","Rs. 1,900"
"50","Rs. 1,750"
"51","Rs. 1,750"
"52","Rs. 1,650"
"53","Rs. 1,600"
"54","Rs. 1,550"
"55","Rs. 1,475"
"56"," Price N/A "
"57"," Price N/A "
"58"," Price N/A "
"59"," Price N/A "
"60"," Price N/A "
"61"," Price N/A "
